ham hock
corned beef
ball tip
filet mignon
ground round
strip steak
tri-tip
jowl
capicola
chislic
chop
flank
pancetta
prosciutto
ribs
swine
t-bone
tail
sausage
beef
meatloaf
filet
pastrami
turducken
boudin
pork
strip
striploin
chuck
sirloin
shank
andouille
short
brisket
shankle
steak
jerky
loin
buffalo
landjaeger
bresaola
cow
spare
pig
meatball
doner
fatback
belly
kielbasa
hamburger
kevin
alcatra
hock
picanha
shoulder
burgdoggen
salami
bacon
turkey
ribeye
tongue
rump
ham
cupim
porchetta
chicken
leberkas
drumstick
round
tenderloin
frankfurter
biltong
venison
